,Company,Industry,Country,Market Value,Sales,Profits,Assets,Rank,Profits as % of Assets,Profits as % of Sales,description
10,BNP Paribas,Banking,France,86.67,101.06,8.37,2952.22,11,0.00283515456165191,0.0828220858895705,"BNP Paribas S.A. is a French international banking group. It is the world's 8th largest bank by total assets, and currently operates with a presence in 72 countries. It was formed through the merger of Banque Nationale de Paris (BNP) and Paribas in 2000, but has a corporate identity stretching back to its first foundation in 1848 as a national bank. It is one of three major international French banks, along with Société Générale and Crédit Agricole. The group is listed on the first market of Euronext Paris and a component of the Euro Stoxx 50 stock market index, while it also included in the French CAC 40 index.
With both a retail banking section and investment banking operations, the bank is present on five continents. Its retail banking networks serve more than 30 million customers in its three domestic markets, France, Belgium and Italy, through several brands such as BNL and Fortis. The retail bank also operates in the Mediterranean region and in Africa. In the Americas, it operates in the western United States as Bank of the West. As an investment bank and international financial services provider for corporate and institutional clients, it is present across Europe, the Americas, and Asia.
BNP Paribas is the largest French banking group and the largest bank in the Eurozone. It became one of the five largest banks in the world following the 2008 financial crisis. Despite some legal difficulties in 2014, including being fined the largest ever sum as reparation for violating US sanctions, it remains one of the ten largest banks worldwide.

"
11,PetroChina,Oil & Gas Operations,China,333.84,157.22,16.8,174.95,12,0.09602743641040301,0.106856634016029,"PetroChina Company Limited (simplified Chinese: 中国石油天然气股份有限公司; traditional Chinese: 中國石油天然氣股份有限公司) is a Chinese oil and gas company and is the listed arm of state-owned China National Petroleum Corporation (CNPC), headquartered in Dongcheng District, Beijing. The company is currently Asia's largest oil and gas producer and was China's second biggest oil producer in 2006. Traded in Hong Kong and New York, the mainland enterprise announced its plans to issue stock in Shanghai in November 2007, and subsequently entered the constituent of SSE 50 Index. In the 2020 Forbes Global 2000, PetroChina was ranked as the 32nd-largest public company in the world."
12,AT&T,Telecommunications Services,United States,147.55,123.02,12.54,268.75,13,0.0466604651162791,0.101934644773208,"AT&T Inc. is an American multinational conglomerate holding company, Delaware-registered but headquartered at Whitacre Tower in Downtown Dallas, Texas. It is the world's largest telecommunications company, the largest provider of mobile telephone services, and the largest provider of fixed telephone services in the United States through AT&T Communications.  Since June 14, 2018, it is also the parent company of mass media conglomerate WarnerMedia, making it the world's largest media and entertainment company in terms of revenue. As of 2020, AT&T was ranked 9 on the Fortune 500 rankings of the largest United States corporations, with revenues of $181 billion.AT&T began its history as Southwestern Bell Telephone Company, a subsidiary of the Bell Telephone Company, founded by Alexander Graham Bell in 1877. The Bell Telephone Company became the American Telephone and Telegraph Company in 1885 and was later rebranded as AT&T Corporation. The 1982 United States v. AT&T antitrust lawsuit resulted in the divestiture of AT&T Corporation's (""Ma Bell"") subsidiaries or Regional Bell Operating Companies (RBOCs), commonly referred to as  ""Baby Bells"", resulting in several independent companies, including Southwestern Bell Corporation; the latter changed its name to SBC Communications Inc. in 1995. In 2005, SBC purchased its former parent AT&T Corporation and took on its branding, with the merged entity naming itself AT&T Inc. and using its history, iconic logo and stock-trading symbol. AT&T Inc. acquired BellSouth in 2006, the last independent Baby Bell company, making its formerly joint venture Cingular Wireless (which had acquired AT&T Wireless in 2004) wholly owned and rebranding it as AT&T Mobility.
The current AT&T reconstitutes much of the former Bell System, and includes ten of the original 22 Bell Operating Companies along with the original long-distance division.

"
13,Wal-Mart Stores,Retailing,United States,205.37,408.21,14.34,170.71,14,0.0840021088395524,0.0351289777320497,"Walmart Inc. ( ; formerly Wal-Mart Stores, Inc.) is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores from the United States, headquartered in Bentonville, Arkansas. The company was founded by Sam Walton in 1962 and incorporated on October 31, 1969. It also owns and operates Sam's Club retail warehouses. As of October 31, 2020, Walmart has 11,510 stores and clubs in 27 countries, operating under 56 different names. The company operates under the name Walmart in the United States and Canada, as Walmart de México y Centroamérica in Mexico and Central America, as Asda in the United Kingdom, as the Seiyu Group in Japan, and as Flipkart Wholesale in India. It has wholly owned operations in Argentina, Chile, Canada, and South Africa. Since August 2018, Walmart holds only a minority stake in Walmart Brasil, which was renamed Grupo Big in August 2019, with 20 percent of the company's shares, and private equity firm Advent International holding 80 percent ownership of the company.
Walmart is the world's largest company by revenue, with US$514.405 billion, according to the Fortune Global 500 list in 2019. It is also the largest private employer in the world with 2.2 million employees. It is a publicly traded family-owned business, as the company is controlled by the Walton family. Sam Walton's heirs own over 50 percent of Walmart through both their holding company Walton Enterprises and their individual holdings. Walmart was the largest United States grocery retailer in 2019, and 65 percent of Walmart's US$510.329 billion sales came from U.S. operations.Walmart was listed on the New York Stock Exchange in 1972. By 1988, it was the most profitable retailer in the U.S., and it had become the largest in terms of revenue by October 1989. The company was originally geographically limited to the South and lower Midwest, but it had stores from coast to coast by the early 1990s. Sam's Club opened in New Jersey in November 1989, and the first California outlet opened in Lancaster, in July 1990. A Walmart in York, Pennsylvania, opened in October 1990, the first main store in the Northeast.Walmart's investments outside the U.S. have seen mixed results. Its operations and subsidiaries in Canada, the United Kingdom, Central America, South America, and China are highly successful, but its ventures failed in Germany and South Korea."
14,Berkshire Hathaway,Diversified Financials,United States,190.86,112.49,8.06,297.12,15,0.0271270866989768,0.0716508134056361,"Berkshire Hathaway () is an American multinational conglomerate holding company headquartered in Omaha, Nebraska, United States. The company wholly owns GEICO, Duracell, Dairy Queen, BNSF, Lubrizol, Fruit of the Loom, Helzberg Diamonds, Long & Foster, FlightSafety International, Pampered Chef, Forest River, and NetJets, and also owns 38.6% of Pilot Flying J; and significant minority holdings in public companies Kraft Heinz Company (26.7%), American Express (17.6%), The Coca-Cola Company (9.32%), Bank of America (11.65%), and Apple (5.4%).Beginning in 2016, the company acquired large holdings in the major US airline carriers, namely United Airlines, Delta Air Lines, Southwest Airlines, and American Airlines but sold all of its airline holdings early in 2020. Berkshire Hathaway has averaged an annual growth in book value of 19.0% to its shareholders since 1965 (compared to 9.7% from the S&P 500 with dividends included for the same period), while employing large amounts of capital, and minimal debt.The company is known for its control and leadership by Warren Buffett, who serves as chairman and chief executive, and by Charlie Munger, one of the company's vice-chairmen. In the early part of his career at Berkshire, Buffett focused on long-term investments in publicly traded companies, but more recently he has more frequently bought whole companies. Berkshire now owns a diverse range of businesses including confectionery, retail, railroads, home furnishings, encyclopedias, manufacturers of vacuum cleaners, jewelry sales, manufacture and distribution of uniforms, and several regional electric and gas utilities.
According to the Forbes Global 2000 list and formula, Berkshire Hathaway is the eighth-largest public company in the world, the tenth-largest conglomerate by revenue and the largest financial services company by revenue in the world.As of August 2020, Berkshire's Class B stock is the seventh-largest component of the S&P 500 Index (which is based on free-float market capitalization) and the company is famous for having the most expensive share price in history with Class A shares costing around $300,000 each. This is because there has never been a stock split in its Class A shares and Buffett stated in a 1984 letter to shareholders that he does not intend to split the stock."
15,Gazprom,Oil & Gas Operations,Russia,132.58,115.25,24.33,234.77,16,0.10363334327213901,0.211106290672451,"PJSC Gazprom (Russian: Газпром, IPA: [ɡɐsˈprom]) is a Russian majority state-owned multinational energy corporation headquartered in the Lakhta Center in Saint Petersburg. As of 2019, with sales over US$120 billion, it sits as the largest publicly-listed natural gas company in the world and the largest company in Russia by revenue. In the 2020 Forbes Global 2000, Gazprom was ranked as the 32nd -largest public company in the world.  Gazprom name is a portmanteau of the Russian words Gazovaya Promyshlennost (Russian: га́зовая промы́шленность – gas industry).
Gazprom is vertically integrated and is active in every area of the gas industry, including exploration and production, refining, transport, distribution and marketing, and power generation. In 2018, Gazprom produced twelve percent of the global output of natural gas, producing 497.6 billion cubic meters of natural and associated gas and 15.9 million tonnes of gas condensate. Gazprom then exports the gas through pipelines that the company builds and owns across Russia and abroad such as Nord Stream and TurkStream. In the same year, Gazprom has proven reserves of 35.1 trillion cubic meters of gas and 1.6 billion tons of gas condensate. Gazprom is also a large oil producer through its subsidiary Gazprom Neft, producing about 41 million tons of oil with reserves amounting to 2 billion tons. The company also has subsidiaries in industrial sectors including finance, media and aviation, and majority stakes in other companies.
Gazprom was created in 1989, when the Soviet Ministry of Gas Industry was converted to a corporation, becoming the first state-run corporate enterprise in the Soviet Union. After the Soviet Union's dissolution, Gazprom was privatized, retaining its Russia-based assets. At that time, Gazprom evaded taxes and state regulation and engaged in asset stripping. The company later returned to government control in the early 2000s, and since then, the company is involved in the Russian Government's diplomatic efforts, setting of gas prices, and access to pipelines.The company is mostly owned by the Russian government, via the Federal Agency for State Property Management and Rosneftegaz, while remaining shares are traded publicly. Gazprom has a listing in the Moscow Exchange and has a market capitalization of US$80.56 billion as of September 2019."
16,China Construction Bank,Banking,China,184.32,59.16,13.59,1106.2,17,0.0122853010305551,0.229716024340771,"China Construction Bank Corporation (CCB) is one of the ""big four"" banks in the People's Republic of China. In 2015 CCB was the 2nd largest bank in the world by market capitalization and 6th largest company in the world. The bank has approximately 13,629 domestic branches. In addition, it maintains overseas branches in Barcelona, Frankfurt, Luxembourg, Hong Kong, Johannesburg, New York City, Seoul, Singapore, Tokyo, Melbourne, Kuala Lumpur, Sydney and Auckland, and a wholly owned subsidiary in London. Its total assets reached CN¥ 8.7 trillion in 2009. Its headquarters is in Xicheng District, Beijing.

"
17,Petrobras-Petróleo Brasil,Oil & Gas Operations,Brazil,190.34,104.81,16.63,198.26,18,0.0838797538585696,0.158668066024234,"Petróleo Brasileiro S.A., better known by the acronym Petrobras (Portuguese pronunciation: [ˌpɛtɾoˈbɾas ]), is a state-owned Brazilian multinational corporation in the petroleum industry headquartered in Rio de Janeiro, Brazil. The company's name translates to Brazilian Petroleum Corporation — Petrobras.
The company was ranked #120 in the most recent Fortune Global 500 list. In the 2020 Forbes Global 2000, Petrobras was ranked as the 70th -largest public company in the world."
18,Total,Oil & Gas Operations,France,131.8,160.68,12.1,183.29,19,0.0660156036881445,0.0753049539457306,"Total SE (French pronunciation: ​[tɔtal]; English:  or ) is a French multinational integrated oil and gas company founded in 1924 and one of the seven ""supermajor"" oil companies. Its businesses cover the entire oil and gas chain, from crude oil and natural gas exploration and production to power generation, transportation, refining, petroleum product marketing, and international crude oil and product trading. Total is also a large scale chemicals manufacturer.
Total has its head office in the Tour Total in La Défense district in Courbevoie, west of Paris. The company is a component of the Euro Stoxx 50 stock market index. In the 2020 Forbes Global 2000, Total SE was ranked as the 29th-largest public company in the world."
19,Chevron,Oil & Gas Operations,United States,146.23,159.29,10.48,164.62,20,0.0636617664925282,0.0657919517860506,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil, natural gas, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation. Chevron is one of the world's largest companies; as of March 2020, it ranked fifteenth in the Fortune 500 with a  yearly revenue of $146.5 billion and market valuation of $136 billion. In the 2020 Forbes Global 2000, Chevron was ranked as the 61st -largest public company in the world.  It was also one of the Seven Sisters that dominated the global petroleum industry from the mid-1940s to the 1970s. Chevron is incorporated in California.Chevron's downstream operations manufacture and sell products such as fuels, lubricants, additives, and petrochemicals. The company's most significant areas of operations are the west coast of North America, the U.S. Gulf Coast, Southeast Asia, South Korea and Australia. In 2018, the company produced an average of 791,000 barrels of net oil-equivalent per day in United States."
20,Barclays,Banking,United Kingdom,56.15,65.91,15.17,2223.04,21,0.00682398877213186,0.230162342588378,"Barclays plc () is a British multinational investment bank and financial services company, headquartered in London, England. Apart from investment banking, Barclays is organised into four core businesses: personal banking, corporate banking, wealth management, and investment management.Barclays traces its origins to the goldsmith banking business established in the City of London in 1690. James Barclay became a partner in the business in 1736. In 1896, several banks in London and the English provinces, including Goslings Bank, Backhouse's Bank and Gurney's Bank, united as a joint-stock bank under the name Barclays and Co. Over the following decades, Barclays expanded to become a nationwide bank. In 1967, Barclays deployed the world's first cash dispenser. Barclays has made numerous corporate acquisitions, including of London, Provincial and South Western Bank in 1918, British Linen Bank in 1919, Mercantile Credit in 1975, the Woolwich in 2000 and the North American operations of Lehman Brothers in 2008.
Barclays has a primary listing on the London Stock Exchange and is a constituent of the FTSE 100 Index. It has a secondary listing on the New York Stock Exchange.
According to a 2011 paper, Barclays was the most powerful transnational corporation in terms of ownership and thus corporate control over global financial stability and market competition, with Axa and State Street Corporation taking the 2nd and 3rd positions, respectively."
21,Bank of China,Banking,China,147.0,52.2,9.45,1016.31,22,0.009298344009209791,0.181034482758621,"The Bank of China (Chinese: 中国银行; pinyin: Zhōngguó Yínháng; often abbreviated as 中行 or BOC) is one of the four biggest state-owned commercial banks in China. Bank of China is legally separate from its subsidiary Bank of China (Hong Kong), although they maintain close relations in management and administration and co-operate in several areas including reselling BOC's insurance and securities services.
It was founded in 1912 by the Republican government to replace the Daqing Bank. It is the second oldest bank in mainland China still in existence (after the Bank of Communications, founded in 1908). From its establishment until 1942, it issued banknotes on behalf of the Government along with the ""Big Four"" banks of the period: the Farmers Bank of China, Bank of Communications and Central Bank of the Republic of China. Its headquarters are in Xicheng District, Beijing.As of 31 December 2009, it was the second-largest lender in China overall, and the fifth-largest bank in the world by market capitalization value.As of end 2017, it was the fourth-largest bank in the world in terms of assets, ranked after the other three Chinese banks."
22,Allianz,Insurance,Germany,52.74,130.06,6.16,834.04,23,0.00738573689511295,0.0473627556512379,"Allianz SE ( AL-ee-ənts; German pronunciation: [aliˈants] (listen)) is a European multinational financial services company headquartered in Munich, Germany. Its core businesses are insurance and asset management. 
As of 2014, it is the world's largest insurance company, the largest financial services group and the largest company according to a composite measure by Forbes magazine, as well as the largest financial services company when measured by 2013 revenue. The company is a component of the Euro Stoxx 50 stock market index.Its asset management division, which consists of PIMCO, Allianz Global Investors and Allianz Real Estate, has €1,960 billion of assets under management (AuM), of which €1,448 billion are third-party assets (as at 2017-12-31).Allianz sold Dresdner Bank to Commerzbank in November 2008. As a result of this transaction, Allianz gained a 14% controlling stake in the new Commerzbank."
23,GDF Suez,Utilities,France,83.36,114.65,6.42,245.95,24,0.0261028664362675,0.0559965111208024,"Suez S.A. was a leading French multinational corporation headquartered in the 8th arrondissement of Paris, with operations primarily in water, electricity and natural gas supply, and waste management. Suez was the result of a 1997 merger between the Compagnie de Suez and Lyonnaise des Eaux, a leading French water company. In the early 2000s Suez also owned some media and telecommunications assets, but has since divested these. According to the Masons Water Yearbook 2004/5, Suez served 117.4 million people around the world. The company conducted a merger of equals with fellow utility company Gaz de France on 22 July 2008 to form GDF Suez (called Engie since 2015). The water and waste assets of Suez were spun off into a separate publicly traded company, Suez Environnement."
